,train_loss,train_rse,train_mae,train_mse,train_mape,train_rmse,val_loss,val_rse,val_mae,val_mse,val_mape,val_rmse
0,33.98432,0.212251,33.98432,61169.693996,141688445.565217,218.93155,80.709703,0.50057,80.709703,906522.767857,396159401.142857,949.429949
1,27.718409,0.148862,27.718409,41675.889197,98854563.73913,181.774518,75.615105,0.493521,75.615105,893755.830357,85640896.571429,942.732884
2,26.74074,0.153393,26.74074,41313.768385,84440250.73913,182.088014,78.336947,0.507985,78.336947,921130.821429,177408027.428571,957.6041
3,26.679473,0.150287,26.679473,38997.975873,107858599.565217,178.321327,74.691165,0.469585,74.691165,848601.205357,194147931.428571,918.842555
4,24.854845,0.146382,24.854845,38281.123546,70061479.695652,177.3457,71.943827,0.447867,71.943827,807366.392857,98391888.571429,895.839268
5,24.758407,0.133409,24.758407,36546.509299,77883214.565217,167.708814,72.911019,0.466464,72.911019,843024.366071,132292557.714286,915.874625
6,25.147066,0.144217,25.147066,37324.126359,80308933.173913,177.342045,74.36947,0.490052,74.36947,889425.3125,114961444.571429,941.023342
7,24.170822,0.136454,24.170822,36313.167273,73149468.695652,168.583576,74.41983,0.502106,74.41983,913002.910714,45087836.285714,953.464504
8,23.970633,0.135291,23.970633,35712.573752,69684906.043478,167.17858,73.328975,0.486774,73.328975,883215.830357,74822453.142857,937.914865
9,23.762321,0.135557,23.762321,35500.070164,62802798.043478,170.484843,73.482386,0.468127,73.482386,847966.526786,119499105.142857,918.876962
10,24.050594,0.135164,24.050594,38328.845183,58592833.826087,173.796803,73.019817,0.44202,73.019817,795948.642857,176684123.428571,889.930167
11,23.643397,0.128099,23.643397,35636.812978,63430997.826087,163.010262,67.489954,0.413001,67.489954,740569.526786,37880399.714286,857.893354
12,23.629858,0.131495,23.629858,35244.175988,74294792.695652,165.356062,65.307011,0.384045,65.307011,686770.276786,149302476.571429,825.839896
13,23.259039,0.120864,23.259039,34271.998185,61206436.521739,158.611626,68.391452,0.423126,68.391452,761862.928571,57654839.142857,870.526088
14,23.216782,0.122848,23.216782,33222.940791,68573208.173913,156.976516,53.829403,0.334256,53.829403,591980.607143,74314633.142857,764.721959
15,22.681146,0.123215,22.681146,31964.735134,54141518.826087,154.808136,56.042894,0.336734,56.042894,596488.455357,100366904.0,768.207371
16,22.892869,0.125885,22.892869,32812.895895,61536168.826087,161.950964,54.960427,0.336006,54.960427,595074.584821,45852019.142857,766.896606
17,22.470375,0.117508,22.470375,31991.174879,53189805.391304,156.984883,62.714436,0.368896,62.714436,655125.334821,53233232.285714,805.699881
18,22.526932,0.110236,22.526932,32209.282434,54359619.0,156.375109,61.126506,0.364947,61.126506,649328.84375,38878831.0,802.052054
19,22.577524,0.13112,22.577524,33754.465857,54148194.0,160.728553,60.178141,0.346988,60.178141,615298.705357,119356195.428571,780.354553
20,22.458792,0.120802,22.458792,32365.441727,52603499.347826,158.391247,54.831429,0.33388,54.831429,591711.334821,45416372.857143,764.396929
21,22.040081,0.123629,22.040081,31103.007574,50069972.652174,156.866578,56.637046,0.338119,56.637046,599189.946429,79366040.571429,769.337943
22,22.024553,0.123182,22.024553,31130.509851,49435711.869565,157.498046,53.924157,0.332704,53.924157,587847.026786,82396313.142857,761.088789
23,21.937144,0.121217,21.937144,31162.018738,45195630.521739,156.265353,53.717097,0.327775,53.717097,580816.116071,60726504.857143,756.961304
24,22.130337,0.108628,22.130337,30765.412656,49103392.913043,153.498373,57.207429,0.344865,57.207429,610435.620536,57951553.428571,776.458505
25,22.060792,0.125001,22.060792,33194.873344,49318658.521739,159.787092,54.641253,0.335052,54.641253,592075.71875,38396614.285714,764.001578
26,21.56869,0.110045,21.56869,30392.690669,41844307.26087,150.007341,52.743962,0.332484,52.743962,588606.21875,51379262.571429,761.922695
27,21.657931,0.119649,21.657931,31114.819304,41862074.478261,152.834933,55.10958,0.34429,55.10958,608690.611607,39867651.142857,774.643162
28,21.688477,0.112299,21.688477,30657.117209,42183053.391304,154.898457,57.390133,0.345435,57.390133,612057.790179,52673686.857143,777.444135
29,21.543437,0.102825,21.543437,29738.331219,41769521.695652,147.988415,57.220968,0.344494,57.220968,609473.205357,120114809.142857,775.194536
30,21.649785,0.123401,21.649785,32116.793685,52367321.173913,156.413379,55.218588,0.340898,55.218588,602078.5625,36827851.142857,770.365138
31,21.79687,0.123419,21.79687,29938.426078,45526277.521739,152.010547,62.765414,0.3774,62.765414,672699.017857,70313363.428571,816.107832
32,21.525617,0.109504,21.525617,28601.444654,46115262.130435,148.250332,54.743905,0.340737,54.743905,601754.254464,36853708.142857,770.089478
33,21.340529,0.116841,21.340529,29039.503285,42558605.913043,148.761959,52.798449,0.335801,52.798449,593638.964286,39215278.142857,764.570304
34,21.211776,0.104903,21.211776,29433.413097,41075402.956522,146.913324,54.34986,0.338577,54.34986,598776.026786,48167367.714286,767.682085
35,21.116029,0.098912,21.116029,28537.284482,38447261.782609,141.758008,53.459041,0.334423,53.459041,590889.571429,45307232.285714,762.992013
36,21.026551,0.105888,21.026551,28270.788123,35879898.217391,145.43128,52.780767,0.335918,52.780767,592789.754464,59649474.857143,764.087045
37,21.168208,0.111192,21.168208,29134.980586,37659402.73913,149.317091,54.156767,0.340565,54.156767,600912.191964,56059343.142857,769.178249
38,21.068632,0.115022,21.068632,30378.779005,34092402.304348,149.784165,55.32494,0.337424,55.32494,596660.53125,34991716.142857,767.094151
39,20.948018,0.112381,20.948018,28319.686083,34213310.434783,146.942334,54.258229,0.335306,54.258229,593026.120536,49720218.857143,763.621966
40,20.971179,0.097594,20.971179,27626.762215,40136228.826087,141.353743,56.64291,0.342857,56.64291,606531.924107,37579367.714286,773.648577
41,20.978212,0.102856,20.978212,29204.524255,36163835.434783,149.539477,56.604041,0.34633,56.604041,612477.424107,36412024.428571,777.0512
42,20.94025,0.102591,20.94025,30115.21607,35984041.130435,146.867805,55.582532,0.340843,55.582532,602453.633929,43834930.857143,770.365496
43,20.89617,0.117868,20.89617,27623.160422,37589176.130435,145.37896,54.466072,0.335907,54.466072,593705.714286,48593666.571429,764.647348
44,20.856705,0.103297,20.856705,27212.073821,36774374.913043,143.271938,52.688237,0.33237,52.688237,587931.691964,52818677.142857,761.454189
45,20.859429,0.111598,20.859429,29769.216972,32346341.782609,147.986454,52.733075,0.333129,52.733075,589265.294643,73852838.857143,762.111668
46,20.707026,0.09963,20.707026,27257.466983,36828828.304348,139.323713,54.971035,0.33633,54.971035,595247.160714,38187634.857143,765.805481
47,20.547539,0.103654,20.547539,27246.070456,32530386.478261,144.776452,52.680182,0.329369,52.680182,582995.660714,36307663.714286,758.427124
48,20.750547,0.094868,20.750547,27174.850453,39019000.26087,141.094326,53.109044,0.330403,53.109044,584595.513393,79205232.0,759.053903
49,20.625352,0.10305,20.625352,29560.460025,33040033.521739,147.439458,56.395355,0.342982,56.395355,606842.03125,47473995.142857,773.639762
50,20.600587,0.10353,20.600587,27542.979551,32132226.521739,141.488278,56.832037,0.341489,56.832037,604001.709821,72410966.857143,772.066119
51,20.567933,0.108204,20.567933,27217.578791,34224203.391304,140.74213,55.261553,0.342744,55.261553,606472.125,51380236.571429,773.452968
52,20.474766,0.108585,20.474766,28251.675824,29986893.021739,144.891781,58.950361,0.35262,58.950361,626108.598214,50820437.714286,786.562971
53,20.437636,0.100547,20.437636,26833.536,33089322.391304,141.134217,52.790199,0.332147,52.790199,586764.584821,37948558.428571,760.505615
54,20.567513,0.100244,20.567513,27083.013677,34806865.869565,143.92254,54.612363,0.33627,54.612363,594999.620536,49312155.714286,765.73652
55,20.383545,0.104997,20.383545,26667.311277,33184988.804348,139.719409,53.946334,0.332411,53.946334,588256.098214,82598861.714286,761.645394
56,20.508302,0.102298,20.508302,28001.74236,35818112.652174,143.457168,52.70885,0.332956,52.70885,588911.09375,49221043.714286,762.019915
57,20.439214,0.101302,20.439214,27976.153119,31433738.652174,143.881063,54.849403,0.336083,54.849403,594737.267857,38195786.714286,765.622515
58,20.368604,0.098576,20.368604,26946.977518,31029182.108696,144.50957,53.587954,0.335661,53.587954,593430.580357,40329566.142857,764.659215
59,20.240014,0.093234,20.240014,26568.582196,28840349.717391,141.928219,55.379582,0.340922,55.379582,603162.191964,41723291.142857,770.917315
60,20.292221,0.09885,20.292221,27025.576111,29921443.913043,140.974456,55.803195,0.341736,55.803195,604613.955357,47492691.714286,772.340123
61,20.224165,0.095693,20.224165,26571.453948,29646002.26087,139.946474,55.07503,0.339594,55.07503,600418.049107,40225796.142857,769.621887
62,20.347639,0.104275,20.347639,27850.99836,28963360.086957,137.735516,52.342663,0.332661,52.342663,589425.683036,53930674.285714,762.287781
63,20.232881,0.106305,20.232881,26640.699378,29357457.065217,138.592731,54.597073,0.336682,54.597073,595856.513393,56407205.142857,766.47311
64,20.245699,0.103902,20.245699,26725.174375,29636540.913043,145.527188,52.284174,0.330863,52.284174,585894.941964,52231177.428571,760.018991
65,20.20078,0.092523,20.20078,26200.279302,29516897.326087,135.538138,52.470581,0.330241,52.470581,584002.071429,43519220.857143,758.516976
66,20.195084,0.094503,20.195084,26423.642671,30446379.73913,135.620299,52.397757,0.331082,52.397757,586167.540179,38993580.428571,760.210292
67,20.218715,0.095386,20.218715,26313.84004,30648519.695652,136.762718,53.087033,0.32973,53.087033,584439.026786,37552042.857143,759.357457
68,20.186364,0.097129,20.186364,26345.125931,30976136.652174,136.289339,52.288603,0.331346,52.288603,586319.008929,36429905.714286,760.187186
69,20.098339,0.089996,20.098339,26231.27918,29346056.086957,135.770227,55.730774,0.340986,55.730774,603608.767857,42249945.571429,771.463937
70,20.094143,0.100837,20.094143,26268.704935,28728341.673913,137.895688,53.315183,0.334662,53.315183,591791.638393,47315398.0,763.689287
71,20.055913,0.096249,20.055913,26276.142241,29577078.065217,137.242295,53.031082,0.333383,53.031082,590286.25,38864064.571429,762.814017
72,20.04375,0.099641,20.04375,26333.560871,27649603.934783,139.287602,52.442157,0.332104,52.442157,587935.107143,38156668.0,761.446027
73,20.127101,0.099831,20.127101,26373.689973,27762708.717391,138.743265,54.211856,0.336065,54.211856,594843.839286,53090994.571429,766.016331
74,20.108943,0.092572,20.108943,26577.866946,27005448.369565,137.349377,53.374823,0.335469,53.374823,593365.401786,45738954.857143,764.721488
75,19.971667,0.090388,19.971667,26109.015715,27234541.826087,133.829548,54.12042,0.335745,54.12042,594046.183036,38782982.142857,765.319345
76,20.043372,0.121751,20.043372,26260.006618,29487149.369565,140.972151,53.47973,0.335049,53.47973,593190.241071,48949724.571429,764.654602
77,20.035044,0.101345,20.035044,26447.382327,26986179.478261,138.080083,53.063661,0.334247,53.063661,591026.205357,43777220.571429,763.374128
78,19.976589,0.102652,19.976589,26678.932861,26041352.304348,141.838975,54.106527,0.336712,54.106527,596012.450893,44856159.714286,766.406137
79,19.990167,0.101236,19.990167,26486.017074,26154505.717391,141.694914,52.610352,0.333078,52.610352,589238.821429,36941835.142857,762.251081
80,19.953888,0.092546,19.953888,26436.156436,25820110.347826,140.689056,54.476134,0.334425,54.476134,592368.875,47853912.571429,764.30174
81,19.900468,0.097457,19.900468,26017.590677,25368317.347826,135.601436,53.417922,0.332737,53.417922,589247.745536,37827231.857143,762.294538
82,19.973637,0.104299,19.973637,28678.849057,25904441.956522,139.018522,52.473804,0.330824,52.473804,585634.946429,50479078.857143,759.773568
83,19.883411,0.101484,19.883411,26160.03893,26619204.76087,135.611088,53.559129,0.335679,53.559129,594144.03125,38826329.571429,765.237139
84,19.92607,0.103835,19.92607,26458.492389,26352843.456522,136.032955,52.60567,0.331422,52.60567,587066.799107,38311934.0,760.811811
